Surname,Credit Score,Geography,Gender,Age,Tenure,Balance,Number Of Products,Has Cr Card,Is Active Member,Estimated Salary,Exited
Hargrave,619,France,Female,42,2,0,1,yes,yes,101348.88,yes
Hill,608,Spain,Female,41,1,83807.86,1,no,yes,112542.58,no
Onio,502,France,Female,42,8,159660.8,3,yes,no,113931.57,yes
Boni,699,France,Female,39,1,0,2,no,no,93826.63,no
Mitchell,850,Spain,Female,43,2,125510.82,1,yes,yes,79084.1,no
Chu,645,Spain,Male,44,8,113755.78,2,yes,no,149756.71,yes
Bartlett,822,France,Male,50,7,0,2,yes,yes,10062.8,no
Obinna,376,Germany,Female,29,4,115046.74,4,yes,no,119346.88,yes
He,501,France,Male,44,4,142051.07,2,no,yes,74940.5,no
H?,684,France,Male,27,2,134603.88,1,yes,yes,71725.73,no
Bearce,528,France,Male,31,6,102016.72,2,no,no,80181.12,no
Andrews,497,Spain,Male,24,3,0,2,yes,no,76390.01,no
Kay,476,France,Female,34,10,0,2,yes,no,26260.98,no
Chin,549,France,Female,25,5,0,2,no,no,190857.79,no
Scott,635,Spain,Female,35,7,0,2,yes,yes,65951.65,no
Goforth,616,Germany,Male,45,3,143129.41,2,no,yes,64327.26,no
Romeo,653,Germany,Male,58,1,132602.88,1,yes,no,5097.67,yes
Henderson,549,Spain,Female,24,9,0,2,yes,yes,14406.41,no
Muldrow,587,Spain,Male,45,6,0,1,no,no,158684.81,no
Hao,726,France,Female,24,6,0,2,yes,yes,54724.03,no
McDonald,732,France,Male,41,8,0,2,yes,yes,170886.17,no
Dellucci,636,Spain,Female,32,8,0,2,yes,no,138555.46,no
Gerasimov,510,Spain,Female,38,4,0,1,yes,no,118913.53,yes
Mosman,669,France,Male,46,3,0,2,no,yes,8487.75,no
Yen,846,France,Female,38,5,0,1,yes,yes,187616.16,no
Maclean,577,France,Male,25,3,0,2,no,yes,124508.29,no
Young,756,Germany,Male,36,2,136815.64,1,yes,yes,170041.95,no
Nebechi,571,France,Male,44,9,0,2,no,no,38433.35,no
McWilliams,574,Germany,Female,43,3,141349.43,1,yes,yes,100187.43,no
Lucciano,411,France,Male,29,0,59697.17,2,yes,yes,53483.21,no
Azikiwe,591,Spain,Female,39,3,0,3,yes,no,140469.38,yes
Odinakachukwu,533,France,Male,36,7,85311.7,1,no,yes,156731.91,no
Sanderson,553,Germany,Male,41,9,110112.54,2,no,no,81898.81,no
Maggard,520,Spain,Female,42,6,0,2,yes,yes,34410.55,no
Clements,722,Spain,Female,29,9,0,2,yes,yes,142033.07,no
Lombardo,475,France,Female,45,0,134264.04,1,yes,no,27822.99,yes
Watson,490,Spain,Male,31,3,145260.23,1,no,yes,114066.77,no
Lorenzo,804,Spain,Male,33,7,76548.6,1,no,yes,98453.45,no
Armstrong,850,France,Male,36,7,0,1,yes,yes,40812.9,no
Cameron,582,Germany,Male,41,6,70349.48,2,no,yes,178074.04,no
Hsiao,472,Spain,Male,40,4,0,1,yes,no,70154.22,no
Clarke,465,France,Female,51,8,122522.32,1,no,no,181297.65,yes
Osborne,556,France,Female,61,2,117419.35,1,yes,yes,94153.83,no
