Surname,Estimated Salary,Is Active Member,Credit Score,Geography,Gender,Age,Balance,Tenure,Number Of Products,Has Cr Card,Exited
Hargrave,101348.88,yes,619,France,Female,42,0,2,1,yes,yes
Hill,112542.58,yes,608,Spain,Female,41,83807.86,1,1,no,no
Boni,93826.63,no,699,France,Female,39,0,1,2,no,no
Mitchell,79084.1,yes,850,Spain,Female,43,125510.82,2,1,yes,no
Chu,149756.71,no,645,Spain,Male,44,113755.78,8,2,yes,yes
Obinna,119346.88,no,376,Germany,Female,29,115046.74,4,4,yes,yes
He,74940.5,yes,501,France,Male,44,142051.07,4,2,no,no
H?,71725.73,yes,684,France,Male,27,134603.88,2,1,yes,no
Andrews,76390.01,no,497,Spain,Male,24,0,3,2,yes,no
Chin,190857.79,no,549,France,Female,25,0,5,2,no,no
Goforth,64327.26,yes,616,Germany,Male,45,143129.41,3,2,no,no
Henderson,14406.41,yes,549,Spain,Female,24,0,9,2,yes,no
Muldrow,158684.81,no,587,Spain,Male,45,0,6,1,no,no
McDonald,170886.17,yes,732,France,Male,41,0,8,2,yes,no
Dellucci,138555.46,no,636,Spain,Female,32,0,8,2,yes,no
Gerasimov,118913.53,no,510,Spain,Female,38,0,4,1,yes,yes
Mosman,8487.75,yes,669,France,Male,46,0,3,2,no,no
Yen,187616.16,yes,846,France,Female,38,0,5,1,yes,no
Maclean,124508.29,yes,577,France,Male,25,0,3,2,no,no
Young,170041.95,yes,756,Germany,Male,36,136815.64,2,1,yes,no
Nebechi,38433.35,no,571,France,Male,44,0,9,2,no,no
McWilliams,100187.43,yes,574,Germany,Female,43,141349.43,3,1,yes,no
Lucciano,53483.21,yes,411,France,Male,29,59697.17,0,2,yes,no
Azikiwe,140469.38,no,591,Spain,Female,39,0,3,3,yes,yes
Odinakachukwu,156731.91,yes,533,France,Male,36,85311.7,7,1,no,no
Maggard,34410.55,yes,520,Spain,Female,42,0,6,2,yes,no
Lombardo,27822.99,no,475,France,Female,45,134264.04,0,1,yes,yes
Watson,114066.77,yes,490,Spain,Male,31,145260.23,3,1,no,no
